id,name,season,team,mp,ws,ws48
allento01,Tony Allen,2008,BOS,1373,2.7,.093
davisgl01,Glen Davis,2008,BOS,940,2.5,.128
powele01,Leon Powe,2008,BOS,809,4.3,.256
scalabr01,Brian Scalabrine,2008,BOS,512,0.6,.057
cassesa01,Sam Cassell,2008,BOS,299,0.4,.061
brownpj01,P.J. Brown,2008,BOS,209,0.5,.116
pollasc01,Scot Pollard,2008,BOS,173,0.6,.171
pruitga01,Gabe Pruitt,2008,BOS,95,0.1,.028
jeffeal01,Al Jefferson,2007,BOS,2319,6.6,.137
gomesry01,Ryan Gomes,2007,BOS,2275,4.2,.089
westde01,Delonte West,2007,BOS,2219,3.7,.081
rondora01,Rajon Rondo,2007,BOS,1831,2.4,.064
greenge01,Gerald Green,2007,BOS,1780,1.6,.042
piercpa01,Paul Pierce,2007,BOS,1740,5.4,.148
telfase01,Sebastian Telfair,2007,BOS,1578,0.5,.015
perkike01,Kendrick Perkins,2007,BOS,1576,1.4,.042
scalabr01,Brian Scalabrine,2007,BOS,1027,0.9,.043
szczewa02,Wally Szczerbiak,2007,BOS,900,1.6,.083
allento01,Tony Allen,2007,BOS,805,1.9,.111
powele01,Leon Powe,2007,BOS,720,1.7,.116
rayal01,Allan Ray,2007,BOS,710,0.6,.039
olowomi01,Michael Olowokandi,2007,BOS,234,-0.1,-0.017
pinknke01,Kevinn Pinkney,2007,BOS,100,0.2,.075
ratlith01,Theo Ratliff,2007,BOS,44,0.1,.073
piercpa01,Paul Pierce,2006,BOS,3084,11.5,.178
westde01,Delonte West,2006,BOS,2418,5.7,.114
lafrera01,Raef LaFrentz,2006,BOS,2033,4.3,.101
davisri01,Ricky Davis,2006,BOS,1747,2.9,.080
gomesry01,Ryan Gomes,2006,BOS,1376,3.1,.108
perkike01,Kendrick Perkins,2006,BOS,1332,2.3,.082
greenor01,Orien Greene,2006,BOS,1235,-0.3,-0.013
szczewa02,Wally Szczerbiak,2006,BOS,1174,3.4,.140
blounma01,Mark Blount,2006,BOS,1083,0.2,.010
jeffeal01,Al Jefferson,2006,BOS,1062,2.3,.105
allento01,Tony Allen,2006,BOS,978,1.7,.082
scalabr01,Brian Scalabrine,2006,BOS,938,0.3,.015
greenge01,Gerald Green,2006,BOS,374,0.5,.064
reedju01,Justin Reed,2006,BOS,291,-0.3,-0.045
